Product Name,Category,Description,Provider,Delivery Mode,Sales Region,Price
 翼Al智慧能力组件服务 , 甄选 ,翼Al智慧能力组件是数据库、数据监控备份、云服务软件及前期设计、规划、踏勘、安装、部署、调试、运维。旨为企业或团队提供安全的数据库、数据监控备份、云服务软件等服务。符合国产化要求，助力企业数字化转型，保护企业数据及数据安全。,天翼云甄选商城,线下交付类,全国,3000
 翼系统保障解决方案（内蒙版） , 甄选 ,翼系统保障解决方案（内蒙版）为党政军、公检法、电信、能源、金融等各行业政企客户，提供以安全大脑赋能、安全防御为核心的专业防护产品,天翼云甄选商城,线下交付类,内蒙古自治区,89.6
 外部暴露面管理 ," 省级甄选 ,  云运维 ,  云服务 ,  迁移 ,  人工服务 ",外部暴露面管理平台是一个网络空间资产攻击面管理系统，通过录入简单的种子信息，平台以种子为核心，在智能引擎以及近百个全球化数据源的加持下，可为企业客户自动化地拓展出完整的网络空间资产。,天翼云甄选商城,线下交付类,天津市,2000
 低代码决策引擎解决方案 , 省级甄选 ,低代码决策引擎是一个简单、直观、易于使用的决策管理工具。它旨在帮助客户创建、管理策略，配置并执行各类业务决策规则，如金融行业的风控策略、网络信息安全态势感知等策略。,天翼云甄选商城,线下交付类,天津市,2500
 云慧护 ," 省级甄选 ,  云运维 ,  云服务 ,  迁移 ,  人工服务 ",云慧护面向希望通过借助第三方力量实现本组织数字化转型的企事业单位用户，解决企业“不想转”“不会转”“不敢转”的问题，帮助企业进行转型；并通过在天翼云服务器的日常运维中，全面的体现云计算的特性（即开即用、灵活扩展等）以及云产品的快速迭代，相比与传统运维的稳态，云运维更突出出敏态特性。,天翼云甄选商城,线下交付类,天津市,10
 翼企业邮箱纷享版 （增强版） ," 甄选 ,  办公协同 ,  企业上云 ,  邮件办公 ,  邮件安全 ,  企业邮箱 ,  云邮箱 ,  邮件系统 ,  数字化管理 ,  协同办公 ",翼企业邮箱纷享版（增强版）是专为客户推出的企业邮箱云服务，方案包含云归档，全面满足客户对企业邮箱邮件通信、高效管理、协同办公、安全防护、归档审计等核心需求，助力客户实现高效的邮件通信与办公协同，成就企业数字化转型。,天翼云甄选商城,SAAS类,全国,138
 翼企业邮箱独享版（标准版） ," 甄选 ,  办公协同 ,  企业上云 ,  邮件办公 ,  邮件安全 ,  企业邮箱 ,  云邮箱 ,  邮件系统 ,  数字化管理 ,  协同办公 ",翼企业邮箱独享版（标准版）是一款面向客户的独立部署邮件系统解决方案，功能强大，性能优异，可有效保障邮件系统独立与数据安全，可实现与第三方软件系统集成对接，全面满足客户对的邮件通信、高效管理、协同办公、安全防护等核心需求，助力客户数字化转型。,天翼云甄选商城,线下交付类,全国,40000
 翼企业邮箱纷享版（标准版） ," 甄选 ,  办公协同 ,  企业上云 ,  邮件办公 ,  邮件安全 ,  企业邮箱 ,  云邮箱 ,  邮件系统 ,  数字化管理 ,  协同办公 ",翼企业邮箱纷享版（标准版）是专为客户推出的企业邮箱云服务，全面满足客户对企业邮箱邮件通信、高效管理、协同办公、安全防护等核心需求，助力客户实现高效的邮件通信与办公协同，成就企业数字化转型。,天翼云甄选商城,SAAS类,全国,75
 翼企业邮箱独享版（增强版） ," 甄选 ,  办公协同 ,  企业上云 ,  邮件办公 ,  邮件安全 ,  企业邮箱 ,  云邮箱 ,  邮件系统 ,  数字化管理 ,  协同办公 ",翼企业邮箱独享版（增强版）是一款面向客户的独立部署邮件系统解决方案，方案包含云归档，功能强大，性能优异，可有效保障邮件系统独立与数据安全，可实现与第三方软件系统集成对接，全面满足客户对的邮件通信、高效管理、协同办公、安全防护、归档审计等核心需求，助力客户数字化转型。,天翼云甄选商城,线下交付类,全国,55000
 翼微信营销解决方案 ," 甄选 ,  微信营销 ,  公众号私域管理 ,  数字营销 ,  营销获客 ,  数字化经营 ,  营销管理 ",翼微信营销解决方案帮助企业构建微信营销体系，实现千人千面的个性化培育，轻松实现微信营销获客、培育、转化全链路覆盖。主要功能包含多微信公众号管理，素材管理、粉丝管理、消息管理、全员营销管理等。,天翼云甄选商城,线下交付类,全国,2000
 翼育客宝-电子名片解决方案 ," 甄选 ,  智能获客 ,  电子名片 ,  数字名片 ,  智能名片 ,  营销获客 ,  数字化经营 ,  产品服务 ",翼育客宝-电子名片通过线下展会、直播会议、客户拜访、分享沙龙等线上线下营销场景获客，重新定义智能名片，聚留转察，提升营销效率，提速培育转化。,天翼云甄选商城,线下交付类,全国,2000
 慧智数据挖掘服务 , 省级甄选 ,慧智数据挖掘服务是一款通过大数据和人工智能技术对企业数据进行挖掘和分析的解决方案，实现连锁零售企业智能精细化线索获取和分类客户，提升效率、增加营收的解决方案。,天翼云甄选商城,线下交付类,云南省,120000
 智慧纪检平台 ," 省级甄选 ,  纪检 ,  纪委 ,  党风廉政 ,  智慧纪检 ,  党风政风 ,  数据分析 ,  监督 ",智慧纪检平台包含“两个责任”监督管理系统、“一表通”监督系统、领导干部廉政档案系统、单位廉情画像系统、党风政风监督数据分析系统共五个子系统，智慧纪检平台旨在加强党风廉政建设，为纪检监察工作提供有力依据和辅助纪检监察工作开展。,天翼云甄选商城,线下交付类,全国,2000
 翼云移动业务智能平台 ," 省级甄选 ,  终端管理 ,  移动设备安全管理 ,  移动安全 ",翼云移动业务智能平台可快速集成用户的自有应用，提供统一的业务门户及独立安全工作空间。在提升用户移动体验的同时，保证了移动业务数据的安全，高效方便，易于迭代和维护，使设备在业务过程中只能做工作相关的事。,天翼云甄选商城,线下交付类,云南省,240
 翼多端小程序解决方案 ," 甄选 ,  小程序开发 ,  公众号开发 ,  微官网 ,  生鲜O2O小程序 ,  预约小程序 ,  电商小程序 ,  商家入驻小程序 ",可用于创建预约、商城、O2O等不同类型的小程序应用，并面向微信官网、小程序，提供各种定制化功能。,天翼云甄选商城,线下交付类,全国,10
 翼唯杰IDV云终端管理解决方案 ," 甄选 ,  数字化管理 ,  协同办公 ",翼唯杰云终端解决方案是将分散的云终端资源集中的在服务器管理起来，旨为企业或团队提供安全的存储、共享等服务；多终端覆盖，助力企业随时办公，快速查找分享，提高办公效率。适用于政务，企事业单位，学校，教培机构等办公场景。,天翼云甄选商城,线下交付类,全国,600
 翼数字信任解决方案 ," 甄选 ,  数字信任 ,  SSL ,  电子签署 ,  证书监测 ,  数字证书 ,  互联网证书 ,  双算法自适应 ,  数字化基础 ,  网络安全 ",翼数字信任解决方案是为了解决网络安全问题，保护网站和用户数据的安全，提高用户信任度，通过证书全生命周期系统管理所有证书，并监测HTTPS的使用状态。可以应用于各种行业，如电子商务、金融、医疗、政务等，为网站提供安全保障，帮助企业实现电子签署。,天翼云甄选商城,线下交付类,全国,2999
 云等保测评 ," 甄选 ,  数字化基础 ,  网络安全 ",   云等保测评是根据国家网络安全等级保护制度，为客户提供信息系统的网络安全等级保护测评工作，协助客户所属信息系统实现等保合规要求，完善网络安全保障体系建设的安全测评服务。,天翼云甄选商城,线下交付类,全国,5000
 翼建站 ," 甄选 ,  模板建站 ,  定制建站 ,  数字化基础 ,  网络安全 ,  数字化基础 ,  网络安全 ",翼建站能一站式满足用户建设门户网站、微信公众号等线上宣传需求。有助于企事业单位提高工作效率、展示单位形象、升华单位价值。,天翼云甄选商城,线下交付类,全国,288
 翼建站 ," 甄选 ,  模板建站 ,  定制建站 ,  数字化基础 ,  网络安全 ",翼建站能一站式满足用户建设门户网站、微信公众号等线上宣传需求。有助于企事业单位提高工作效率、展示单位形象、升华单位价值。,天翼云甄选商城,SAAS类,全国,10
 翼智慧显示一体化解决方案 ," 甄选 ,  数字化管理 ,  协同办公 ",教育、企业业务软件适配云电脑，包含希沃电子白板软件服务、希沃班级优化大师服务，MAXHUB办公管理服务。可实现21.5寸、23.8寸、65寸、86寸显示端接入。,天翼云甄选商城,线下交付类,全国,20
